fish	mercuryLevel
halibut	0.086
halibut	0.273
halibut	0.3599
halibut	0.6726
halibut	0.4195
halibut	0.3717
halibut	0.2592
halibut	0.3924
halibut	0.1838
halibut	0.4922
halibut	0.3947
halibut	0.0595
halibut	0.3374
halibut	0
halibut	0.2392
halibut	0
halibut	0
halibut	0
halibut	0.5737
halibut	0.5247
halibut	0.4845
halibut	0.3491
halibut	0.145
halibut	0.1116
halibut	0.3596
halibut	0.2371
halibut	0.3986
halibut	0.3416
halibut	0
halibut	0.0156
halibut	0.1664
halibut	0.048
halibut	0.2431
halibut	0.4171
halibut	0.3779
halibut	0.0346
halibut	0.3436
halibut	0.0501
halibut	0.5916
halibut	0.282
halibut	0.4051
halibut	0
halibut	0.2782
halibut	0.2161
halibut	0.3633
halibut	0.044
halibut	0.4895
halibut	0
halibut	0.5774
halibut	0.2411
halibut	0.1317
halibut	0
halibut	0.8038
halibut	0.1246
halibut	0.0821
halibut	0.6442
halibut	0.1192
halibut	0
halibut	0.2836
halibut	0
halibut	0
halibut	0.2807
halibut	0.0867
halibut	0.1271
halibut	0.4
halibut	0.2766
halibut	0.1734
halibut	0.2676
halibut	0.4831
halibut	0.1907
halibut	0.4216
halibut	0.4744
halibut	0.25
halibut	0.3305
halibut	0.3259
halibut	0.3886
halibut	0.4535
halibut	0.1872
halibut	0
perch	0
perch	0.0908
perch	0.1136
perch	0.1986
perch	0.2525
perch	0.1105
perch	0.2342
perch	0.0177
perch	0.0732
perch	0.1726
perch	0.1872
perch	0.2759
perch	0.1906
perch	0
perch	0.383
perch	0.0192
perch	0.0884
perch	0.0449
perch	0.2471
perch	0.0958
perch	0.1103
perch	0.0485
perch	0.2846
perch	0.2511
perch	0.1636
perch	0.2786
perch	0.108
perch	0.157
perch	0.3687
perch	0.1448
perch	0
perch	0.1924
perch	0.2331
perch	0.126
perch	0.2281
perch	0.2451
perch	0.2413
perch	0
perch	0
perch	0.2739
perch	0.0355
perch	0.1303
perch	0.2308
perch	0.1997
perch	0.3185
perch	0.1758
perch	0.0765
perch	0.0542
perch	0.2434
perch	0.1757
perch	0
perch	0.0795
perch	0.0479
perch	0.2206
perch	0.0154
perch	0.2246
perch	0.0587
perch	0.2304
perch	0.0255
perch	0.1115
perch	0.0014
perch	0.2056
perch	0.2311
perch	0.2867
perch	0.338
perch	0.1702
perch	0.0822
perch	0.4071
perch	0.0165
perch	0.3372
perch	0.3714
perch	0.3446
perch	0.3933
perch	0.1533
perch	0.2508
perch	0.2407
perch	0.0326
perch	0.2552
perch	0.2569
perch	0.0689
perch	0.2678
perch	0.1913
perch	0.116
perch	0.1059
perch	0.1425
perch	0
perch	0.0955
perch	0.0987
perch	0.188
perch	0
perch	0
perch	0.1612
perch	0.1716
perch	0.2458
perch	0.0899
perch	0.1531
perch	0.0889
perch	0
perch	0.1202
perch	0.3126
perch	0.1019
perch	0.2016
perch	0.1372
perch	0.1629
perch	0.2833
perch	0.2302
perch	0.2194
perch	0.2129
perch	0.0837
perch	0.1782
perch	0.3688
perch	0.2084
perch	0.0631
perch	0.0686
perch	0.13
perch	0
perch	0.0757
perch	0.2956
perch	0.1611
perch	0.0901
perch	0
perch	0.2668
perch	0.1267
perch	0.1244
perch	0.0819
perch	0.0761
perch	0.1111
perch	0.0123
perch	0.0687
perch	0.0175
perch	0.474
perch	0.1437
perch	0.1084
perch	0.0618
perch	0.0874
perch	0.0816
perch	0.1501
perch	0.1163
perch	0.129
perch	0.1769
perch	0.222
perch	0.0662
perch	0
perch	0.1079
perch	0.2855
perch	0.0488
perch	0.1242
perch	0.4892
perch	0.1156
perch	0.0529
perch	0.0593
perch	0
perch	0.4174
perch	0.0908
perch	0.2591
perch	0
perch	0
perch	0.2813
perch	0.0604
perch	0.1144
perch	0.2432
perch	0.0885
perch	0.0783
perch	0
perch	0.1003
perch	0.1593
perch	0.1578
perch	0.0099
perch	0.2516
perch	0.2329
perch	0.1449
perch	0
perch	0.1742
perch	0.2255
perch	0.2753
perch	0.2198
perch	0.0453
perch	0.2359
perch	0.1623
perch	0.0809
perch	0.0963
perch	0.1185
perch	0.0955
perch	0.249
perch	0.4088
perch	0.143
perch	0.2915
perch	0.2755
perch	0.1403
perch	0.1224
perch	0.1014
perch	0.3387
perch	0.1927
perch	0
perch	0
perch	0.0482
perch	0.2157
perch	0.1417
perch	0.1202
perch	0.0003
perch	0.3326
perch	0.0341
perch	0.1387
perch	0.0972
perch	0.2231
perch	0.0995
perch	0.1005
perch	0
perch	0.0444
perch	0.1904
perch	0.3572
perch	0.1081
perch	0.2597
perch	0.154
perch	0.066
perch	0.0589
perch	0.3744
perch	0.3594
perch	0.1168
perch	0
perch	0.2704
perch	0.0654
perch	0.3769
perch	0.1646
perch	0.2037
perch	0.1917
perch	0.0884
perch	0.1394
