gender	goal
girl	popular
girl	popular
girl	popular
girl	popular
girl	popular
girl	popular
girl	popular
girl	popular
girl	popular
girl	popular
girl	popular
girl	popular
girl	popular
girl	popular
girl	popular
girl	popular
girl	popular
girl	popular
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
girl	sports
