sleep	GPA
7	2.78
8	3.92
6.5	3.49
6	3.2
6	3.26
8	3.35
7	3.67
6	3.4
6	2.35
4	2.96
8	3.57
6	2.67
7.5	3.65
7	3.94
6	3.44
7.5	3.48
7	3.83
7	3.91
8	3.5
4	3.84
7	3.27
9	3.85
7	3.87
6	3.66
7	3.47
8	3.67
7	3.9
5	3.3
5	3.4
6	3.3
7	3.54
6	3.6
8	4
9	3.7
8	3.75
5	3.7
4	3.58
8	3.82
6	3.84
8	3.6
6	3.97
7	3.81
7	3.65
6	3.55
7	3.1
8	2.8
5.5	3.5
8	3.2
5	3.17
7	2.8
7	3.79
6	3.73
7	4
6	3.3
8	3.5
7	3.4
6	3.42
3	3.38
8	3.16
5	3.42
7	3.45
7	3.44
8	3.6
8	3.6
7	3.4
7	3.7
9.5	3.7
6	3.93
7	3.2
8	1.82
7.5	2.8
6.3	3.88
8	3.8
8	3.94
4	3.75
7	3.94
5	3.91
8	3.2
8	3.8
7	3.71
8	3.3
9	3.77
8	3.06
5.5	3.65
7	3.3
7	3.49
8	3.21
9	3.8
7	3.6
6	2.8
5.5	3.7
4	3.91
5	3.39
6	3.3
7	3.95
4	3.94
7	3.25
4	3
7	2.98
6	3.85
6	2.7
7	3.54
10	3.4
6	3.76
7	2.82
7	3.75
7	3.81
5	3.97
4	3.4
6	3.3
6	3
4	3.2
5	3.87
5	3.23
8	3.64
5	3.74
8	3.88
9	3.84
5.5	3.8
6	3.2
4.5	3.7
8	3.4
6	3.3
4	3.71
5	3.3
7	3.95
7	2.83
7	2.89
6	3.44
6	2.96
6	3.67
6	3.48
7	2.9
7	3.9
6	3.95
4	3.17
7	3.1
10	3
5	3.6
7	3.97
6	3.62
6.5	3.4
6	2.7
7	3.58
5	2.7
6	3.67
7.5	2.98
8	3.3
9	3.2
5	3.21
7	3.6
4	3.5
7	3.67
3	2.75
4	3.2
6.5	4
6	2.8
4	3.17
7	3.89
7	3.75
6	3.2
6	3.6
7	3.91
6	3.52
8	3.45
6	2.5
9	3.7
9	2.46
8	3.85
9	3.77
6	3.9
9	3.65
7.5	3.2
6	3.13
8	3.75
6	3.48
6	3.5
7	3.75
7	4
7	2.67
5	2.5
4	2.7
6	3.49
8	3.23
8	3.74
7	3.72
7	3.92
8	3.53
9	3
7	3.93
7	3.16
7	3
8	3.69
7	3
7	3.9
8	3.6
7	3.98
8	2.54
8	3.89
6.5	3.92
10	3.56
7	3.88
8	3.8
8	3.31
7	3.3
7	3.91
5	3.14
6	3.4
6	3.71
7	3.54
6	2.88
7	3.83
5	3.2
7	2.8
8.5	3.53
6	3
7.5	3.96
6	1.55
7	3.4
8	2.9
6	3.82
7	3.3
6	3.45
8	3.92
8	2.73
2	3.87
8	3.76
8	2.7
6	3.7
7	3.75
6	3.5
7	3.56
4	3.2
6	3.4
9	2.1
6	3.8
7	3.08
5	2.9
6	3.94
8	3.92
6.5	3.23
9	3.95
7	3.25
4.5	3.5
7	3.89
7	3.8
7	3.98
6	2.51
7	3.7
5	3.9
6	3.74
4.5	3.95
5	3.8
9	3.65
6	3.92
5	3.4
5	3.6
9	3.75
7	3.94
7	3.09
5	3.79
6	3.2
8	3.4
7	3.5
6	3.4
7.5	3.57
6	3.52
6	3.55
8	3.76
8	3.98
6	3.3
7	3.65
